2750632	Family 	nm5555652 nm3599675 nm5556494 nm5555716 	2013-09-06	nm1300689 	Norwegian	Norway	Modulf is bullied by the toughest guys at school. And that's fine. Because then he saves the other kids from being bullied. Then Lise arrives - a new girl in class.
0064990	Crime Drama Romance 	nm0000366 nm0000901 nm0096501 nm0274949 	1969-06-18	nm0000076 	French	France Italy	Louis Mahe is a tobacco planter at Reunion Island. He is waiting for Julie Roussel to marry her. He only knows her by mail...
2280964	Drama Sci-Fi 	nm2615398 nm1480573 nm0643885 nm2202409 	2013-06-01	nm0475905 	Japanese	Japan	
0068555	Comedy 	nm0000095 nm0000698 nm0489837 nm0001017 	1973-01-31	nm0000095 	English Italian	USA	Seven segments related to one another only in that they all purport to be based on sections of the book by David Reuben...
3008180	Documentary Drama 		2014	nm1280625 	English	Ireland USA	A wrongly convicted father comes home after 13 years in prison to discover his real battle is building a relationship with his daughter.
0780567	Comedy Drama Family Fantasy 	nm0000552 nm0002006 nm2780578 nm0001074 	2009-06-12	nm0456732 	English	USA Germany	A financial executive who can't stop his career downspiral is invited into his daughter's imaginary world, where solutions to his problems await.
0041245	Comedy Romance 	nm0662116 nm0559920 nm0866835 nm0606718 	1949-12	nm0141351 	English	UK	Young viscount Pym manages to to get an army leave on the pretense of running for the Conservatives in the next local election...
1215523	Crime Drama 	nm0303087 nm0878155 nm0138873 nm2977282 	2009-05-29	nm2043863 	English	USA	Based on the true story of how the FBI brought down one of Detroit's most notorious mobsters.
0110944	Action Adventure Drama History Romance 	nm0001462 nm0005246 nm0002142 nm0223103 	1994-09-09	nm0721817 	English	USA	Tenuously based on the legends of Easter Island, Chile, this story details a civil war between the two...
0076245	Drama 	nm0000404 nm0000603 nm0001673 nm0001703 	1977-10	nm0003593 	English French German Russian	USA	At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany.
1027820	Horror Thriller 	nm0499270 nm1317154 nm1140344 nm2662620 	2012-05-04	nm2035216 	English	USA France Belgium	A group of cooks at an asylum for the criminally insane get locked in with the inmates during a massive thunderstorm.
0060177	Adventure Drama War Action 	nm0000577 nm0000051 nm0000266 nm0447305 	1966-06-21	nm0347086 	English	UK	A young pilot in the German air force of 1918, disliked as lower-class and unchivalrous, tries ambitiously to earn the medal offered for 20 kills.
0060176	Drama Mystery Thriller 	nm0376101 nm0000603 nm0587234 nm0145284 	1966-12-18	nm0000774 	English	UK Italy USA	A mod London photographer seems to find something very suspicious in the shots he has taken of a mysterious beauty in a desolate park.
0434139	Comedy Drama Romance 	nm0103785 nm0057150 nm1377375 nm0000729 	2006-09-15	nm0001282 	English	USA	Michael and Jenna, having been a couple for three years, want to get married and start a family. These...
0124315	Drama Romance 	nm0001497 nm0000234 nm0000323 nm0005148 	2000-01-07	nm0002120 	English	USA	A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world.
1272878	Action Comedy Crime Drama Thriller 	nm0000243 nm0000242 nm1745736 nm0000200 	2013-08-02	nm0466349 	English Spanish	USA	A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.
3056608	Crime 	nm2096347 nm0634831 nm3736757 nm6100747 	2013-10-03	nm3436850 	Malay	Malaysia	The prequel of KL Gangster, tells history of two brother Jai and Malik.
1392899	Action Crime 	nm3360636 nm0498189 nm0156567 nm3010363 	2009-05-01	nm0944578 	Mandarin English	Hong Kong China	Mandy slaves away at two jobs struggling to support her family while dreaming about resurrecting her father's martial arts academy, a once famous school now forgotten since an accident took his leg.
2175583	Horror 	nm4423903 nm2053650 nm4423619 nm4422943 		nm4423378 	English	UK	
0023937	Drama 	nm0757104 nm0299346 nm1586462 nm0407329 	1933-09-07	nm0654868 			
